date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,index_flag,issuer,div_convention,exercise_style,am_set_flag
31/08/2022,02/09/2022,C,100000,56.6,58.75,0,10,3.388519,0.973216,0.001572,0.721212,-225.4274,148596215,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,105000,51.75,53.75,0,23,3.163562,0.967252,0.001989,0.85214,-248.4858,148596216,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,110000,46.75,48.75,0,10,2.851942,0.963936,0.002388,0.922945,-242.6341,148596217,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,115000,41.05,43.8,0,21,2.133457,0.980325,0.001925,0.555144,-111.1215,148579788,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,120000,36.8,37.95,76,156,1.789932,0.982432,0.002084,0.505208,-85.46151,148579789,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,125000,31.7,34.6,3,38,2.260072,0.927197,0.005263,1.609756,-335.0651,148579790,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,130000,26.7,28.7,21,231,1.661644,0.946118,0.005663,1.27213,-196.2926,148579791,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,135000,22.5,22.6,75,188,1.278331,0.951449,0.006775,1.171631,-140.0317,148579792,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,136000,21.5,21.6,74,0,1.228076,0.949703,0.007255,1.204537,-138.4327,149366017,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,137000,20.5,20.6,42,0,1.1779,0.947824,0.007788,1.239798,-136.7667,149366018,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,138000,19.5,19.6,11,16,1.127778,0.945795,0.008383,1.277803,-135.0264,149353594,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,139000,18.5,18.6,31,5,1.077682,0.943598,0.009053,1.318935,-133.2036,149353595,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,140000,17.5,17.6,161,298,1.027583,0.941207,0.009809,1.363517,-131.289,148533347,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,141000,16.5,16.6,2,60,0.977447,0.938593,0.010669,1.411784,-129.2724,148533348,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,142000,15.5,15.6,52,181,0.927242,0.935721,0.011654,1.463895,-127.143,148533349,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,143000,14.5,14.6,81,151,0.876933,0.932547,0.012791,1.520037,-124.8888,148533350,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,144000,13.5,13.6,85,390,0.826485,0.929015,0.014115,1.58065,-122.4958,148533351,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,145000,12.5,12.6,94,401,0.775854,0.925055,0.015674,1.646729,-119.9463,148533352,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,146000,11.5,11.6,45,200,0.724984,0.920578,0.017529,1.720037,-117.216,148533353,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,147000,10.55,10.65,154,629,0.700566,0.907342,0.020356,1.932287,-126.7958,148533354,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,148000,9.55,9.65,146,269,0.647664,0.90099,0.023118,2.028994,-123.1704,148533355,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,149000,8.55,8.65,171,160,0.59423,0.893562,0.026557,2.136492,-119.2111,148533356,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,150000,7.6,7.7,4756,1686,0.561679,0.875865,0.031344,2.381534,-125.4816,148533357,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,152500,5.3,5.4,721,711,0.48527,0.807864,0.048374,3.181109,-143.8456,148720095,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,155000,3.25,3.35,6528,4630,0.429716,0.679781,0.071507,4.164367,-165.7949,148533358,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,157500,1.71,1.74,17352,4517,0.398411,0.483683,0.085941,4.639411,-170.4641,148720096,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,160000,0.74,0.75,88601,27390,0.383773,0.275025,0.074699,3.883601,-137.0404,148533359,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,162500,0.27,0.28,79381,24110,0.382741,0.125771,0.04642,2.402495,-84.53271,148720097,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,165000,0.09,0.1,32557,29431,0.392665,0.050242,0.022667,1.206201,-43.39076,148533360,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,167500,0.03,0.04,12451,14758,0.412822,0.020018,0.010095,0.565079,-21.3406,148720098,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,170000,0.01,0.02,9970,29821,0.44116,0.008811,0.004653,0.277549,-11.22744,148533361,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,172500,0,0.01,4728,20087,0.455205,0.00314,0.001803,0.111075,-4.62845,148720099,1,0,100,0,,w,0,APPLE INC,,A,
31/08/2022,02/09/2022,C,175000,0,0.01,3209,18441,0.518186,0.002791,0.001424,0.09974,-4.735963,148533362,1,0,100,0,,w,0,APPLE INC,,A,
